Championship,Team1,Team2,Time,Win1,Win1_odd,Win2,Win2_odd,Over,O_odd,Under,U_odd,One,One_odd,Two,Two_odd
USA - NBA,CHI Bulls,MEM Grizzlies,22:30,+2.5,1.88,-2.5,1.86,O 225.5,1.89,U 225.5,1.88,1,2.15,2,1.70
USA - NBA,MIN Timberwolves,POR Blazers,22:30,-16.5,1.87,+16.5,1.87,O 226.5,1.87,U 226.5,1.91,1,1.07,2,8.90
USA - NBA,ATL Hawks,DAL Mavericks,Mon 01:00,-3.5,1.89,+3.5,1.85,O 242.5,1.91,U 242.5,1.86,1,1.59,2,2.40
USA - NBA,ORL Magic,DET Pistons,Mon 01:00,-8.5,1.81,+8.5,1.93,O 224.5,1.90,U 224.5,1.88,1,1.25,2,4.00
USA - NBA,SAC Kings,SA Spurs,Mon 01:00,-15.5,1.89,+15.5,1.84,O 244.5,1.90,U 244.5,1.87,1,1.09,2,7.80
USA - NBA,HOU Rockets,LA Lakers,Mon 02:00,+10.5,1.91,-10.5,1.83,O 232.5,1.86,U 232.5,1.92,1,4.95,2,1.18
USA - NBA,OKC Thunder,PHX Suns,Mon 02:00,+5.5,1.81,-5.5,1.93,O 234.5,1.86,U 234.5,1.91,1,2.65,2,1.48
USA - NBA,CLE Cavaliers,IND Pacers,Mon 03:00,-12.5,1.89,+12.5,1.85,O 229.5,1.90,U 229.5,1.87,1,1.14,2,5.80
USA - NBA,MIL Bucks,PHI 76ers,Mon 03:00,-4.5,1.86,+4.5,1.87,O 233.5,1.88,U 233.5,1.89,1,1.53,2,2.50
Greece - Basket League,Panathinaikos,Apollon Patras,15:45,-22.5,1.86,+22.5,1.95,O 153.5,1.93,U 153.5,1.88,1,1.008,2,17.25
Greece - Basket League,Promitheas,Peristeri,17:00,+0.5,1.95,-0.5,1.86,O 156.5,1.88,U 156.5,1.93,1,1.95,2,1.86
Greece - Basket League,Olympiacos,AS Karditsas,19:15,-29.5,1.95,+29.5,1.86,O 164.5,1.93,U 164.5,1.88,1,1.001,2,23.00
Spain - ACB,Real Madrid,Granada,13:15,-18.5,1.91,+18.5,1.90,O 166.5,1.90,U 166.5,1.91,1,1.04,2,12.50
Spain - ACB,Murcia,Girona,13:30,-5.5,1.93,+5.5,1.88,O 162.5,1.91,U 162.5,1.90,1,1.45,2,2.85
Spain - ACB,Tenerife,FC Barcelona,14:00,+5.5,1.85,-5.5,1.96,O 156.5,1.94,U 156.5,1.88,1,2.70,2,1.49
Spain - ACB,Manresa,Obradoiro,18:00,-3.5,1.85,+3.5,1.96,O 165.5,1.92,U 165.5,1.89,1,1.55,2,2.50
Spain - ACB,Valencia,Baskonia Vitoria,21:00,-1.5,1.86,+1.5,1.95,O 169.5,1.89,U 169.5,1.92,1,1.78,2,2.09
Italy - Serie A,Derthona,Brindisi,17:00,-4.5,1.85,+4.5,1.97,O 164.5,1.91,U 164.5,1.90,1,1.50,2,2.70
