Championship,Team1,Team2,Time,One,One_odd,X,X_odd,Two,Two_odd,Over,O_odd,Under,U_odd,GG,GG_odd,NG,NG_odd
Greece - Super League 1,Panathinaikos,Volos NPS,18:00,1,1.17,X,6.80,2,19.75,O 2.5,1.67,U 2.5,2.20,GG,2.80,NG,1.42
Greece - Super League 1,PAOK Thessaloniki,AEK Athens,19:30,1,2.93,X,3.18,2,2.90,O 2.5,2.45,U 2.5,1.55,GG,2.04,NG,1.76
Greece - Super League 1,Olympiacos,Aris Thessaloniki,21:00,1,1.31,X,4.80,2,12.75,O 2.5,2.10,U 2.5,1.74,GG,2.85,NG,1.41
England - Premier League,West Ham,Southampton,16:00,1,1.78,X,3.65,2,4.90,O 2.5,2.10,U 2.5,1.74,GG,2.00,NG,1.79
England - Premier League,Newcastle,Manchester United,18:30,1,2.45,X,3.45,2,3.30,O 2.5,1.90,U 2.5,1.91,GG,1.70,NG,2.10
Spain - LaLiga,Celta Vigo,Almeria,15:00,1,1.53,X,4.35,2,6.30,O 2.5,1.84,U 2.5,1.97,GG,1.96,NG,1.81
Spain - LaLiga,Real Madrid,Valladolid,17:15,1,1.21,X,7.30,2,13.00,O 3.5,1.98,U 3.5,1.84,GG,1.94,NG,1.83
Spain - LaLiga,Villarreal,Real Sociedad,19:30,1,2.70,X,3.10,2,2.85,O 2.5,2.20,U 2.5,1.67,GG,1.87,NG,1.91
Spain - LaLiga,Atletico Madrid,Betis,22:00,1,1.54,X,4.45,2,7.75,O 2.5,1.94,U 2.5,1.87,GG,2.09,NG,1.72
Germany - Bundesliga,FC Koln,Borussia Monchengladbach,16:30,1,2.30,X,3.60,2,3.05,O 2.5,1.76,U 2.5,2.08,GG,1.62,NG,2.25
Germany - Bundesliga,Werder Bremen,Hoffenheim,18:30,1,2.35,X,3.55,2,2.95,O 2.5,1.73,U 2.5,2.10,GG,1.60,NG,2.30
Italy - Serie A,Bologna,Udinese Calcio,13:30,1,2.30,X,3.35,2,3.25,O 2.5,2.15,U 2.5,1.71,GG,1.88,NG,1.89
Italy - Serie A,Monza,Lazio,16:00,1,3.75,X,3.30,2,2.15,O 2.5,2.30,U 2.5,1.62,GG,2.01,NG,1.78
Italy - Serie A,Spezia,Salernitana,16:00,1,2.35,X,3.30,2,3.20,O 2.5,2.10,U 2.5,1.73,GG,1.85,NG,1.92
Italy - Serie A,AS Roma,Sampdoria,19:00,1,1.48,X,4.25,2,7.90,O 2.5,2.08,U 2.5,1.76,GG,2.30,NG,1.60
Italy - Serie A,Napoli,AC Milan,21:45,1,2.02,X,3.50,2,4.50,O 2.5,2.08,U 2.5,1.75,GG,1.88,NG,1.90
France - Ligue 1,Lille OSC,Lorient,14:00,1,1.44,X,5.00,2,7.00,O 2.5,1.60,U 2.5,2.35,GG,1.81,NG,1.97
France - Ligue 1,Angers,Nice,16:00,1,5.80,X,3.65,2,1.68,O 2.5,2.15,U 2.5,1.70,GG,2.10,NG,1.71
France - Ligue 1,Brest,Toulouse,16:00,1,2.80,X,3.45,2,2.55,O 2.5,1.88,U 2.5,1.93,GG,1.69,NG,2.15
France - Ligue 1,Clermont Foot,Ajaccio,16:00,1,2.10,X,3.10,2,4.10,O 1.5,1.61,U 1.5,2.35,GG,2.35,NG,1.58
France - Ligue 1,Nantes,Reims,16:00,1,3.20,X,3.35,2,2.30,O 2.5,2.10,U 2.5,1.74,GG,1.85,NG,1.92
France - Ligue 1,Monaco,Strasbourg,18:05,1,1.61,X,4.25,2,5.50,O 2.5,1.67,U 2.5,2.20,GG,1.72,NG,2.08
France - Ligue 1,Paris Saint Germain,Olympique Lyonnais,21:45,1,1.48,X,4.85,2,6.40,O 3.5,2.25,U 3.5,1.65,GG,1.67,NG,2.20
Greece - Super League 2,Apollon Pontou FC,Iraklis Larisas,14:45,1,1.70,X,3.40,2,4.65,O 2.5,2.30,U 2.5,1.54,GG,2.20,NG,1.59
Greece - Super League 2,Veria FC,Niki Volou,14:45,1,2.95,X,3.00,2,2.35,O 2.5,2.35,U 2.5,1.52,GG,2.02,NG,1.71
Netherlands - Eredivisie,GA Eagles,Ajax,13:15,1,7.60,X,5.15,2,1.38,O 3.5,2.30,U 3.5,1.62,GG,1.79,NG,1.99
Netherlands - Eredivisie,Sparta Rotterdam,Feyenoord,15:30,1,5.70,X,4.10,2,1.59,O 2.5,1.76,U 2.5,2.08,GG,1.82,NG,1.96
