Championship,Player1,Player2,Time,One,One_odd,Two,Two_oddOver,O_odd,Under,U_odd,Win1,Win1_odd,Win2,Win2_odd
World - ATP Miami,Jannik Sinner,Daniil Medvedev,20:05,1,2.00,2,2.00,O 22.5,1.81,U 22.5,1.90,+0.5,1.79,-0.5,1.92
World - ATP Estoril,Fabian Marozsan,Alessandro Giannessi,14:05,1,1.43,2,2.70,O 21.5,1.87,U 21.5,1.87,-3.5,1.85,+3.5,1.89
World - ATP Estoril,Henrique Rocha,Mate Valkusz,14:05,1,3.55,2,1.27,O 20.5,1.89,U 20.5,1.85,+4.5,1.90,-4.5,1.84
World - ATP Estoril,Sebastian Ofner,Frederico Ferreira Silva,15:20,1,1.28,2,3.45,O 21.5,1.82,U 21.5,1.92,-3.5,1.69,+3.5,2.10
World - ATP Estoril,Pedro Sousa,Timofey Skatov,17:00,1,2.80,2,1.40,O 21.5,1.97,U 21.5,1.78,+3.5,1.98,-3.5,1.77
World - WTA San Luis Potosi,Elisabetta Cocciaretto,Sara Errani,Mon 03:00,1,1.40,2,2.80,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
World - WTA Charleston,Elvina Kalieva,Louisa Chirico,17:00,1,1.97,2,1.78,O 21.5,1.93,U 21.5,1.81,+0.5,1.92,-0.5,1.82
World - WTA Charleston,Magdalena Frech,Paola Ormaechea,17:00,1,1.25,2,3.70,O 19.5,1.83,U 19.5,1.91,-5.5,2.05,+5.5,1.72
World - WTA Charleston,Francesca DI Lorenzo,Katherine Sebov,18:00,1,3.30,2,1.30,O 20.5,1.94,U 20.5,1.80,+4.5,1.89,-4.5,1.85
World - WTA Charleston,Ann LI,Kayla Day,18:15,1,1.40,2,2.80,O 20.5,1.87,U 20.5,1.87,-3.5,1.74,+3.5,2.02
World - WTA Charleston,Sachia Vickery,Ashlyn Krueger,18:15,1,2.05,2,1.72,O 21.5,1.94,U 21.5,1.80,+1.5,1.88,-1.5,1.86
World - WTA Charleston,Katarzyna Kawa,Sabine Lisicki,19:30,1,2.75,2,1.41,O 20.5,1.87,U 20.5,1.87,+3.5,1.98,-3.5,1.77
World - WTA Bogota,Rosa Vicens Mas,Iryna Shymanovich,18:00,1,2.95,2,1.37,O 20.5,1.90,U 20.5,1.84,+4.5,1.79,-4.5,1.96
World - WTA Bogota,Fernanda Contreras Gomez,Nuria Brancaccio,19:00,1,1.78,2,1.97,O 21.5,1.94,U 21.5,1.80,-1.5,1.92,+1.5,1.82
World - WTA Bogota,Carole Monnet,Harmony Tan,19:15,1,2.40,2,1.53,O 20.5,1.82,U 20.5,1.92,+3.5,1.84,-3.5,1.90
World - WTA Bogota,Joanne Zuger,Carolina Alves,20:15,1,1.50,2,2.45,O 20.5,1.82,U 20.5,1.92,-3.5,1.91,+3.5,1.83
World - Challenger Sanremo,Juan Pablo Varillas,Luca Van Assche,16:05,1,1.72,2,2.05,O 22.5,1.93,U 22.5,1.78,-1.5,1.84,+1.5,1.86
World - Challenger Girona,Ivan Gakhov,Gastao Elias,12:05,1,2.25,2,1.60,O 22.5,1.98,U 22.5,1.74,+2.5,1.88,-2.5,1.82
World - WTA Miami Doubles,Fernandez L A / Townsend T,Gauff C / Pegula J,22:30,1,2.35,2,1.55,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
World - WTA San Luis Potosi Doubles,Bolsova Zadoinov A / Gamiz A,Kalashnikova O / Piter K,Mon 00:30,1,1.86,2,1.88,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Africa - ITF Egypt,Ilia Simakin,Mohamed Safwat,in 39',1,2.35,2,1.55,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Dorian Lizon Tati,Pierre Antoine Tailleu,in 39',1,13.50,2,1.006,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Luca Castelnuovo,Maxence Rivet,in 39',1,1.28,2,3.45,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Sean Hodkin,Artiom Dorofeev,in 39',1,1.06,2,8.00,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Antoine Vincent,Rudy Ceccon,12:30,1,1.82,2,1.92,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Arno Guillet,Simon Reveniau,12:30,1,10.00,2,1.03,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Nicky Blondeau,Victor Paganetti,12:30,1,5.65,2,1.12,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Maksim Shin,Yanis Ghazouani Durand,14:00,1,2.45,2,1.50,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
Europe - ITF France,Nico Hornitschek,Alexandre Ruscica,14:00,1,2.35,2,1.55,Markets are not available,No_market,No_market,No_market,Markets are not available,No_market,No_market,No_market
