Date,Time,Team1,Team2,One_odd,Two_odd,Win1,Win1_odd,Win2,Win2_odd,O,O_odd,U,U_odd
02-Apr,11:15,SK UP Olomouc (W),Sokol Nusle (W),8,1.06,15.5,1.88,-15.5,1.85,O 139.5,1.87,U 139.5,1.87
02-Apr,11:25,Thailand 3x3 (W),New Zealand 3x3 (W),5.5,1.11,7.5,1.8,-7.5,1.88,O 28.5,1.75,U 28.5,1.91
02-Apr,11:30,Taoyuan Leopards,Taiwan Beer HeroBears,2.15,1.65,3.5,1.83,-3.5,1.91,O 204.5,1.88,U 204.5,1.85
02-Apr,12:00,Yulon Dinos,Bank of Taiwan,2,1.75,1.5,1.88,-1.5,1.87,O 157.5,1.87,U 157.5,1.87
02-Apr,12:00,New Taipei Kings,Hsinchu Lioneers,1.19,4.35,-11.5,1.93,11.5,1.82,O 189.5,1.85,U 189.5,1.88
02-Apr,12:00,Ulsan Mobis Phoebus,Goyang Carrot Jumpers,1.38,2.95,-5.5,1.82,5.5,1.93,O 163.5,1.83,U 163.5,1.91
02-Apr,12:00,Havirov (W),BA Sparta Praha (W),2.25,1.6,3.5,1.87,-3.5,1.87,O 131.5,1.87,U 131.5,1.87
02-Apr,12:15,Australia 3x3,China 3x3,1.57,2.27,-2.5,1.83,2.5,1.83,O 36.5,1.83,U 36.5,1.85
02-Apr,12:15,Sokol Pecky (W),BK Brandys nad Labem (W),1.6,2.25,-3.5,1.87,3.5,1.87,O 142.5,1.87,U 142.5,1.87
02-Apr,13:00,Damex Udea Algericas,CB Tormes,1.17,4.65,-11.5,1.93,11.5,1.82,O 154.5,1.83,U 154.5,1.91
02-Apr,13:00,Gipuzkoa II,Valladolid II,1.15,5.1,-11.5,1.87,11.5,1.87,O 143.5,1.85,U 143.5,1.88
02-Apr,13:00,Luxol BC,Starlites,2,1.75,1.5,1.87,-1.5,1.87,O 165.5,1.9,U 165.5,1.85
02-Apr,13:00,Petkim Spor,Konyaspor,1.5,2.55,-4.5,1.88,4.5,1.85,O 160.5,1.9,U 160.5,1.83
02-Apr,13:15,Real Madrid,Granada,1.01,17.5,-18.5,1.91,18.5,1.9,O 166.5,1.88,U 166.5,1.93
02-Apr,13:30,Herlev (W),Amager (W),1.34,3.05,-6.5,1.88,6.5,1.85,O 130.5,1.88,U 130.5,1.85
02-Apr,13:30,UCAM Murcia,Basquet Girona,1.44,2.9,-5.5,1.93,5.5,1.87,O 162.5,1.87,U 162.5,1.95
02-Apr,13:30,Estela,San Pablo Burgos,4.45,1.18,11.5,1.82,-11.5,1.93,O 155.5,1.83,U 155.5,1.91
02-Apr,13:30,Joventut Badalona (W),Nou Basquet Paterna (W),1.18,4.45,-10.5,1.87,10.5,1.87,O 131.5,1.87,U 131.5,1.87
02-Apr,13:45,Sporting CP U23,GDRAR,1.08,6.8,-13.5,1.87,13.5,1.87,O 133.5,1.85,U 133.5,1.88
02-Apr,14:00,Olympiacos (W),Panathinaikos (W),1.25,3.85,-9.5,1.87,9.5,1.87,O 141.5,1.87,U 141.5,1.87
