date,time,team1,team2,1,X,2,O,O_odds,U,U_odds,Yes,Yes_odds,No,No_odds
25/03,10:00,Broadbeach United (W),Robina City (W),2.12,3.85,2.70,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,South West Queensland Thunder,Logan Lightning,2.92,3.55,2.15,O,1.42,U,2.62,Yes,1.39,No,2.67
25/03,10:00,Wynnum Wolves,Mitchelton,1.83,3.85,3.50,O,1.42,U,2.57,Yes,1.42,No,2.62
25/03,10:00,North Lakes United,Taringa Rovers SFC,3.00,4.10,1.91,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Maroochydore Swans FC,Grange Thistle SC,1.65,4.10,3.95,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Dandenong Thunder,Port Melbourne,2.47,3.35,2.57,O,1.65,U,2.07,Yes,1.52,No,2.32
25/03,10:00,Marconi Stallions,Manly United,1.70,3.90,4.15,O,1.55,U,2.27,Yes,1.55,No,2.25
25/03,10:00,Western Sydney Wanderers II,Apia Leichhardt Tigers,3.65,4.00,1.78,O,1.40,U,2.65,Yes,1.42,No,2.57
25/03,10:00,Bonnyrigg White Eagles,Rydalmere Lions,1.93,3.70,3.20,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Hills Brumbies,Macarthur Rams,1.88,3.75,3.35,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Inter Lions,Northern Tigers,3.25,4.10,1.82,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Mounties Wanderers,Blacktown Spartans,3.85,4.40,1.62,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,SD Raiders,Hakoah Sydney City East,2.42,3.35,2.57,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,St George FC,Canterbury Bankstown,2.15,3.55,2.82,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
25/03,10:00,Bankstown City FC,Dulwich Hill,2.25,3.40,2.77,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet,No_bet
