date,time,team1,team2,WIN_1,WIN_2,Handicap_1,Hand_1_odds,Handicap_2,Hand_2_odds,O,O_odds,U,U_odds
  24/03,23:00,Utah Utes (W),LSU Tigers (W),2.80,1.40,+5.5,1.87,-5.5,1.87,O 149.5,1.83,U 149.5,1.91
24/03,23:00,TEC MTY Leon,TEC MTY Hidalgo,5.80,1.11,+12.5,1.87,-12.5,1.87,O 157.5,1.87,U 157.5,1.87
24/03,23:30,Newfoundland Rogues,Windsor Express,2.35,1.55,+4.5,1.87,-4.5,1.87,O 221.5,1.88,U 221.5,1.85
24/03,23:30,Esgueira U23,Clube Bola,1.009,12.50,-22.5,1.87,+22.5,1.87,O 132.5,1.87,U 132.5,1.87
24/03,23:30,LAC Basquetebol,Club 5Basket U23,2.35,1.55,+3.5,1.87,-3.5,1.87,O 125.5,1.87,U 125.5,1.87
24/03,23:30,Maria Pia Sport Clube,Nacional Natacao,2.35,1.55,+3.5,1.87,-3.5,1.87,O 133.5,1.87,U 133.5,1.87
24/03,23:45,Maia Basket,Sport Lisboa Benfica II,1.35,3.05,-6.5,1.83,+6.5,1.91,O 156.5,1.87,U 156.5,1.87
25/03,00:00,Basquete Santos Memorial,Cruzeiro,1.78,1.98,-1.5,1.87,+1.5,1.87,O 139.5,1.87,U 139.5,1.87
25/03,00:00,FAR Rabat,MTB Majd,1.37,2.95,-6.5,1.87,+6.5,1.87,O 139.5,1.87,U 139.5,1.87
25/03,00:00,Espanol de Talca,Universidad de Concepcion,8.75,1.05,+24.5,1.87,-24.5,1.88,O 166.5,1.88,U 166.5,1.87
25/03,00:30,Alabama Crimson Tide,San Diego State Aztecs,1.30,3.70,-6.5,1.83,+6.5,1.98,O 137.5,1.88,U 137.5,1.93
25/03,00:30,Unifacisa,Bauru,2.18,1.65,+2.5,1.83,-2.5,1.90,O 146.5,1.83,U 146.5,1.91
25/03,00:30,LSB (W),Veracruz Campinas (W),2.12,1.70,+2.5,1.83,-2.5,1.91,O 145.5,1.83,U 145.5,1.91
25/03,00:45,Bucaneros de La Guaira,Cangrejeros de Monagas,1.21,4.05,-8.5,1.82,+8.5,1.93,O 164.5,1.87,U 164.5,1.87
25/03,01:00,Boston Celtics,Indiana Pacers,1.15,5.80,-12.5,1.88,+12.5,1.93,O 236.5,1.93,U 236.5,1.88
25/03,01:00,Washington Wizards,San Antonio Spurs,1.30,3.70,-8.5,1.91,+8.5,1.90,O 228.5,1.91,U 228.5,1.90
25/03,01:00,Columbia Lions (W),Syracuse Orange (W),1.62,2.20,-2.5,1.87,+2.5,1.87,O 143.5,1.87,U 143.5,1.87
25/03,01:00,Club Atletico Obras Sanitarias,Club Atletico Riachuelo de La Rioja,1.25,3.70,-8.5,1.87,+8.5,1.87,O 166.5,1.87,U 166.5,1.87
25/03,01:00,Atletico Caza y Pesca,Club Sportivo Pilar,1.45,2.62,-5.5,1.87,+5.5,1.87,O 154.5,1.87,U 154.5,1.87
